change;class_year;zone_code;ENV_pollutant;assessment_method_type;assessment_threshold_exceedance; assessment_method_type_descr;link_class_doc;link_model
A;2012;NL0100;As;fixed;belowLAT;;;
A;2012;NL0100;BaP;fixed;belowLAT;;;
A;2012;NL0100;Benzene;fixed;belowLAT;;;
A;2012;NL0100;Cd;fixed;belowLAT;;;
A;2012;NL0100;CO;fixed;belowLAT;;;
A;2012;NL0100;Ni;fixed;belowLAT;;;
A;2012;NL0100;NO2_all;fixed;aboveUAT;;;
A;2012;NL0100;NO2_hour;fixed;belowLAT;;;
A;2012;NL0100;NOx;fixed;belowLAT;;;
A;2012;NL0100;Pb;fixed;belowLAT;;;
A;2012;NL0100;PM10_all;fixed;LAT-UAT;;;
A;2012;NL0100;PM10_day;fixed;aboveUAT;;;
A;2012;NL0100;PM2.5_TV;fixed;LAT-UAT;;;
A;2012;NL0100;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0100;SO2-V_winter;fixed;belowLAT;;;
A;2012;NL0200;As;fixed;belowLAT;;;
A;2012;NL0200;BaP;fixed;belowLAT;;;
A;2012;NL0200;Benzene;fixed;belowLAT;;;
A;2012;NL0200;Cd;fixed;belowLAT;;;
A;2012;NL0200;CO;fixed;belowLAT;;;
A;2012;NL0200;Ni;fixed;belowLAT;;;
A;2012;NL0200;NO2_all;fixed;aboveUAT;;;
A;2012;NL0200;NO2_hour;fixed;LAT-UAT;;;
A;2012;NL0200;Pb;fixed;belowLAT;;;
A;2012;NL0200;PM10_all;fixed;belowLAT;;;
A;2012;NL0200;PM10_day;fixed;belowLAT;;;
A;2012;NL0200;PM2.5_TV;fixed;aboveUAT;;;
A;2012;NL0200;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0210;As;fixed;belowLAT;;;
A;2012;NL0210;BaP;fixed;LAT-UAT;;;
A;2012;NL0210;Benzene;fixed;belowLAT;;;
A;2012;NL0210;Cd;fixed;belowLAT;;;
A;2012;NL0210;CO;fixed;belowLAT;;;
A;2012;NL0210;Ni;fixed;belowLAT;;;
A;2012;NL0210;NO2_all;fixed;aboveUAT;;;
A;2012;NL0210;NO2_hour;fixed;LAT-UAT;;;
A;2012;NL0210;Pb;fixed;belowLAT;;;
A;2012;NL0210;PM10_all;fixed;aboveUAT;;;
A;2012;NL0210;PM10_day;fixed;aboveUAT;;;
A;2012;NL0210;PM2.5_TV;fixed;LAT-UAT;;;
A;2012;NL0210;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0220;As;fixed;belowLAT;;;
A;2012;NL0220;BaP;fixed;belowLAT;;;
A;2012;NL0220;Benzene;fixed;belowLAT;;;
A;2012;NL0220;Cd;fixed;belowLAT;;;
A;2012;NL0220;CO;fixed;belowLAT;;;
A;2012;NL0220;Ni;fixed;belowLAT;;;
A;2012;NL0220;NO2_all;fixed;aboveUAT;;;
A;2012;NL0220;NO2_hour;fixed;LAT-UAT;;;
A;2012;NL0220;Pb;fixed;belowLAT;;;
A;2012;NL0220;PM10_all;fixed;LAT-UAT;;;
A;2012;NL0220;PM10_day;fixed;aboveUAT;;;
A;2012;NL0220;PM2.5_TV;fixed;aboveUAT;;;
A;2012;NL0220;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0230;As;fixed;belowLAT;;;
A;2012;NL0230;BaP;fixed;belowLAT;;;
A;2012;NL0230;Benzene;fixed;belowLAT;;;
A;2012;NL0230;Cd;fixed;belowLAT;;;
A;2012;NL0230;CO;fixed;belowLAT;;;
A;2012;NL0230;Ni;fixed;belowLAT;;;
A;2012;NL0230;NO2_all;fixed;aboveUAT;;;
A;2012;NL0230;NO2_hour;fixed;LAT-UAT;;;
A;2012;NL0230;Pb;fixed;belowLAT;;;
A;2012;NL0230;PM10_all;fixed;aboveUAT;;;
A;2012;NL0230;PM10_day;fixed;aboveUAT;;;
A;2012;NL0230;PM2.5_TV;fixed;LAT-UAT;;;
A;2012;NL0230;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0240;As;fixed;belowLAT;;;
A;2012;NL0240;BaP;fixed;LAT-UAT;;;
A;2012;NL0240;Benzene;fixed;LAT-UAT;;;
A;2012;NL0240;Cd;fixed;belowLAT;;;
A;2012;NL0240;CO;fixed;belowLAT;;;
A;2012;NL0240;Ni;fixed;belowLAT;;;
A;2012;NL0240;NO2_all;fixed;aboveUAT;;;
A;2012;NL0240;NO2_hour;fixed;aboveUAT;;;
A;2012;NL0240;Pb;fixed;belowLAT;;;
A;2012;NL0240;PM10_all;fixed;aboveUAT;;;
A;2012;NL0240;PM10_day;fixed;aboveUAT;;;
A;2012;NL0240;PM2.5_TV;fixed;aboveUAT;;;
A;2012;NL0240;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0300;As;fixed;belowLAT;;;
A;2012;NL0300;BaP;fixed;belowLAT;;;
A;2012;NL0300;Benzene;fixed;belowLAT;;;
A;2012;NL0300;Cd;fixed;belowLAT;;;
A;2012;NL0300;CO;fixed;belowLAT;;;
A;2012;NL0300;Ni;fixed;belowLAT;;;
A;2012;NL0300;NO2_all;fixed;LAT-UAT;;;
A;2012;NL0300;NO2_hour;fixed;belowLAT;;;
A;2012;NL0300;Pb;fixed;belowLAT;;;
A;2012;NL0300;PM10_all;fixed;aboveUAT;;;
A;2012;NL0300;PM10_day;fixed;aboveUAT;;;
A;2012;NL0300;PM2.5_TV;fixed;aboveUAT;;;
A;2012;NL0300;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0310;As;fixed;belowLAT;;;
A;2012;NL0310;BaP;fixed;belowLAT;;;
A;2012;NL0310;Benzene;fixed;belowLAT;;;
A;2012;NL0310;Cd;fixed;belowLAT;;;
A;2012;NL0310;CO;fixed;belowLAT;;;
A;2012;NL0310;Ni;fixed;belowLAT;;;
A;2012;NL0310;NO2_all;fixed;aboveUAT;;;
A;2012;NL0310;NO2_hour;fixed;LAT-UAT;;;
A;2012;NL0310;Pb;fixed;belowLAT;;;
A;2012;NL0310;PM10_all;fixed;aboveUAT;;;
A;2012;NL0310;PM10_day;fixed;aboveUAT;;;
A;2012;NL0310;PM2.5_TV;fixed;LAT-UAT;;;
A;2012;NL0310;SO2-H_day;fixed;belowLAT;;;
A;2012;NL0320;As;fixed;belowLAT;;;
A;2012;NL0320;BaP;fixed;belowLAT;;;
A;2012;NL0320;Benzene;fixed;belowLAT;;;
A;2012;NL0320;Cd;fixed;belowLAT;;;
A;2012;NL0320;CO;fixed;belowLAT;;;
A;2012;NL0320;Ni;fixed;belowLAT;;;
A;2012;NL0320;NO2_all;fixed;LAT-UAT;;;
A;2012;NL0320;NO2_hour;fixed;LAT-UAT;;;
A;2012;NL0320;Pb;fixed;belowLAT;;;
A;2012;NL0320;PM10_all;fixed;LAT-UAT;;;
A;2012;NL0320;PM10_day;fixed;aboveUAT;;;
A;2012;NL0320;PM2.5_TV;fixed;aboveUAT;;;
A;2012;NL0320;SO2-H_day;fixed;belowLAT;;;