change;class_year;zone_code;ENV_pollutant;adjustment_type;attainment_final;attainment;deduction_method_type;natural_source_type;link_adjustment_model;exc_number_max;exc_value_max;exc_spatial_extent;exc_area;exc_road_length;exc_exp_population;exc_veg_area;exc_exp_ref_year
;2013;NL0100;As;;N;N;;;;;;;;;;;
;2013;NL0100;BaP;;N;N;;;;;;;;;;;
;2013;NL0100;Benzene;;N;N;;;;;;;;;;;
;2013;NL0100;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0100;Cd;;N;N;;;;;;;;;;;
;2013;NL0100;CO;;N;N;;;;;;;;;;;
;2013;NL0100;Ni;;N;N;;;;;;;;;;;
;2013;NL0100;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0100;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0100;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0100;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0100;NOx;;N;N;;;;;;;;;;;
;2013;NL0100;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0100;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0100;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0100;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0100;Pb;;N;N;;;;;;;;;;;
;2013;NL0100;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0100;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0100;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0100;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0100;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0100;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0100;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0100;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0100;SO2-V_winter;;N;N;;;;;;;;;;;
;2013;NL0100;SO2-V_year;;N;N;;;;;;;;;;;
;2013;NL0201;As;;N;N;;;;;;;;;;;
;2013;NL0201;BaP;;N;N;;;;;;;;;;;
;2013;NL0201;Benzene;;N;N;;;;;;;;;;;
;2013;NL0201;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0201;Cd;;N;N;;;;;;;;;;;
;2013;NL0201;CO;;N;N;;;;;;;;;;;
;2013;NL0201;Ni;;N;N;;;;;;;;;;;
;2013;NL0201;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0201;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0201;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0201;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0201;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0201;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0201;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0201;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0201;Pb;;N;N;;;;;;;;;;;
;2013;NL0201;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0201;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0201;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0201;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0201;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0201;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0201;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0201;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0210;As;;N;N;;;;;;;;;;;
;2013;NL0210;BaP;;N;N;;;;;;;;;;;
;2013;NL0210;Benzene;;N;N;;;;;;;;;;;
;2013;NL0210;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0210;Cd;;N;N;;;;;;;;;;;
;2013;NL0210;CO;;N;N;;;;;;;;;;;
;2013;NL0210;Ni;;N;N;;;;;;;;;;;
;2013;NL0210;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0210;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0210;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0210;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0210;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0210;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0210;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0210;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0210;Pb;;N;N;;;;;;;;;;;
;2013;NL0210;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0210;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0210;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0210;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0210;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0210;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0210;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0210;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0221;As;;N;N;;;;;;;;;;;
;2013;NL0221;BaP;;N;N;;;;;;;;;;;
;2013;NL0221;Benzene;;N;N;;;;;;;;;;;
;2013;NL0221;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0221;Cd;;N;N;;;;;;;;;;;
;2013;NL0221;CO;;N;N;;;;;;;;;;;
;2013;NL0221;Ni;;N;N;;;;;;;;;;;
;2013;NL0221;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0221;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0221;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0221;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0221;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0221;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0221;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0221;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0221;Pb;;N;N;;;;;;;;;;;
;2013;NL0221;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0221;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0221;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0221;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0221;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0221;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0221;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0221;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0231;As;;N;N;;;;;;;;;;;
;2013;NL0231;BaP;;N;N;;;;;;;;;;;
;2013;NL0231;Benzene;;N;N;;;;;;;;;;;
;2013;NL0231;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0231;Cd;;N;N;;;;;;;;;;;
;2013;NL0231;CO;;N;N;;;;;;;;;;;
;2013;NL0231;Ni;;N;N;;;;;;;;;;;
;2013;NL0231;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0231;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0231;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0231;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0231;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0231;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0231;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0231;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0231;Pb;;N;N;;;;;;;;;;;
;2013;NL0231;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0231;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0231;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0231;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0231;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0231;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0231;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0231;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0241;As;;N;N;;;;;;;;;;;
;2013;NL0241;BaP;;N;N;;;;;;;;;;;
;2013;NL0241;Benzene;;N;N;;;;;;;;;;;
;2013;NL0241;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0241;Cd;;N;N;;;;;;;;;;;
;2013;NL0241;CO;;N;N;;;;;;;;;;;
;2013;NL0241;Ni;;N;N;;;;;;;;;;;
;2013;NL0241;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0241;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0241;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0241;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0241;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0241;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0241;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0241;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0241;Pb;;N;N;;;;;;;;;;;
;2013;NL0241;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0241;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0241;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0241;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0241;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0241;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0241;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0241;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0300;As;;N;N;;;;;;;;;;;
;2013;NL0300;BaP;;N;N;;;;;;;;;;;
;2013;NL0300;Benzene;;N;N;;;;;;;;;;;
;2013;NL0300;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0300;Cd;;N;N;;;;;;;;;;;
;2013;NL0300;CO;;N;N;;;;;;;;;;;
;2013;NL0300;Ni;;N;N;;;;;;;;;;;
;2013;NL0300;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0300;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0300;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0300;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0300;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0300;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0300;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0300;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0300;Pb;;N;N;;;;;;;;;;;
;2013;NL0300;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0300;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0300;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0300;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0300;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0300;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0300;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0300;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0310;As;;N;N;;;;;;;;;;;
;2013;NL0310;BaP;;N;N;;;;;;;;;;;
;2013;NL0310;Benzene;;N;N;;;;;;;;;;;
;2013;NL0310;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;Cd;;N;N;;;;;;;;;;;
;2013;NL0310;CO;;N;N;;;;;;;;;;;
;2013;NL0310;Ni;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0310;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0310;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0310;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0310;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0310;Pb;;N;N;;;;;;;;;;;
;2013;NL0310;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0310;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0310;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0310;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0310;SO2-H_hour;;N;N;;;;;;;;;;;
;2013;NL0320;As;;N;N;;;;;;;;;;;
;2013;NL0320;BaP;;N;N;;;;;;;;;;;
;2013;NL0320;Benzene;;N;N;;;;;;;;;;;
;2013;NL0320;Benzene_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;Cd;;N;N;;;;;;;;;;;
;2013;NL0320;CO;;N;N;;;;;;;;;;;
;2013;NL0320;Ni;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_all;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_all_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_hour;;N;N;;;;;;;;;;;
;2013;NL0320;NO2_hour_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;O3-H_LTO;;N;N;;;;;;;;;;;
;2013;NL0320;O3-H_TV;;N;N;;;;;;;;;;;
;2013;NL0320;O3-V_LTO;;N;N;;;;;;;;;;;
;2013;NL0320;O3-V_TV;;N;N;;;;;;;;;;;
;2013;NL0320;Pb;;N;N;;;;;;;;;;;
;2013;NL0320;PM10_all;;N;N;;;;;;;;;;;
;2013;NL0320;PM10_day;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_ECO;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_ERT;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_LV;;N;N;;;;;;;;;;;
;2013;NL0320;PM2.5_LVMT;;N;N;;;;;;;;;;;
;2013;NL0320;SO2-H_day;;N;N;;;;;;;;;;;
;2013;NL0320;SO2-H_hour;;N;N;;;;;;;;;;;